contract_id,payer_id,cpt_category,reimbursement_pct_of_charge,effective_date,end_date,status
CON0001,PAY001,Rehab,0.774,2024-01-01,2025-12-31,Active
CON0002,PAY001,Orthopedics,0.839,2024-01-01,2025-12-31,Active
CON0003,PAY001,Behavioral,0.764,2024-01-01,2025-12-31,Active
CON0004,PAY001,Oncology,0.763,2024-01-01,2025-12-31,Active
CON0005,PAY001,Pulmonology,0.783,2024-01-01,2025-12-31,Active
CON0006,PAY001,Radiology,0.771,2024-01-01,2025-12-31,Active
CON0007,PAY001,Lab,0.751,2024-01-01,2025-12-31,Active
CON0008,PAY001,Neurology,0.752,2024-01-01,2025-12-31,Active
CON0009,PAY001,Preventive,0.797,2024-01-01,2025-12-31,Active
CON0010,PAY001,Cardiology,0.829,2024-01-01,2025-12-31,Active
CON0011,PAY001,Surgery,0.848,2024-01-01,2025-12-31,Active
CON0012,PAY001,OB/GYN,0.776,2024-01-01,2025-12-31,Active
CON0013,PAY001,E&M,0.771,2024-01-01,2025-12-31,Active
CON0014,PAY002,Rehab,0.985,2024-01-01,2025-12-31,Active
CON0015,PAY002,Orthopedics,0.988,2024-01-01,2025-12-31,Active
CON0016,PAY002,Behavioral,0.99,2024-01-01,2025-12-31,Active
CON0017,PAY002,Oncology,0.893,2024-01-01,2025-12-31,Active
CON0018,PAY002,Pulmonology,1.175,2024-01-01,2025-12-31,Active
CON0019,PAY002,Radiology,1.106,2024-01-01,2025-12-31,Active
CON0020,PAY002,Lab,0.855,2024-01-01,2025-12-31,Active
CON0021,PAY002,Neurology,0.897,2024-01-01,2025-12-31,Active
CON0022,PAY002,Preventive,1.168,2024-01-01,2025-12-31,Active
CON0023,PAY002,Cardiology,1.155,2024-01-01,2025-12-31,Active
CON0024,PAY002,Surgery,1.185,2024-01-01,2025-12-31,Active
CON0025,PAY002,OB/GYN,1.141,2024-01-01,2025-12-31,Active
CON0026,PAY002,E&M,1.071,2024-01-01,2025-12-31,Active
CON0027,PAY003,Rehab,0.56,2024-01-01,2025-12-31,Active
CON0028,PAY003,Orthopedics,0.598,2024-01-01,2025-12-31,Active
CON0029,PAY003,Behavioral,0.677,2024-01-01,2025-12-31,Active
CON0030,PAY003,Oncology,0.699,2024-01-01,2025-12-31,Active
CON0031,PAY003,Pulmonology,0.657,2024-01-01,2025-12-31,Active
CON0032,PAY003,Radiology,0.593,2024-01-01,2025-12-31,Active
CON0033,PAY003,Lab,0.623,2024-01-01,2025-12-31,Active
CON0034,PAY003,Neurology,0.569,2024-01-01,2025-12-31,Active
CON0035,PAY003,Preventive,0.561,2024-01-01,2025-12-31,Active
CON0036,PAY003,Cardiology,0.597,2024-01-01,2025-12-31,Active
CON0037,PAY003,Surgery,0.567,2024-01-01,2025-12-31,Active
CON0038,PAY003,OB/GYN,0.682,2024-01-01,2025-12-31,Active
CON0039,PAY003,E&M,0.699,2024-01-01,2025-12-31,Active
CON0040,PAY004,Rehab,0.897,2024-01-01,2025-12-31,Active
CON0041,PAY004,Orthopedics,0.914,2024-01-01,2025-12-31,Active
CON0042,PAY004,Behavioral,0.832,2024-01-01,2025-12-31,Active
CON0043,PAY004,Oncology,0.877,2024-01-01,2025-12-31,Active
