edit_id,column_1_cpt,column_2_cpt,modifier_indicator,modifier_indicator_desc,effective_date,termination_date,rationale,edit_type,source
PTP0001,99285,99283,0,Not allowed,2024-01-01,,Higher-level ED visit includes lower-level,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0002,99285,99284,0,Not allowed,2024-01-01,,Higher-level ED visit includes lower-level,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0003,99284,99283,0,Not allowed,2024-01-01,,Higher-level ED visit includes lower-level,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0004,99215,99214,0,Not allowed,2024-01-01,,Higher-level office visit includes lower-level,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0005,99215,99213,0,Not allowed,2024-01-01,,Higher-level office visit includes lower-level,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0006,99214,99213,0,Not allowed,2024-01-01,,Higher-level office visit includes lower-level,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0007,99233,99232,0,Not allowed,2024-01-01,,Higher-level hospital care includes lower-level,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0008,99223,99232,0,Not allowed,2024-01-01,,Initial hospital care includes subsequent care same day,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0009,99223,99233,0,Not allowed,2024-01-01,,Initial hospital care includes subsequent care same day,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0010,93458,93000,1,Allowed with modifier 59/X{EPSU},2024-01-01,,Cardiac cath includes ECG; modifier allowed if separate session,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0011,92928,93458,0,Not allowed,2024-01-01,,Stent placement includes diagnostic cath,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0012,45380,45378,0,Not allowed,2024-01-01,,Colonoscopy with biopsy includes diagnostic colonoscopy,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0013,43239,43235,0,Not allowed,2024-01-01,,EGD with biopsy includes diagnostic EGD,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0014,27447,20610,1,Allowed with modifier 59/X{EPSU},2024-01-01,,TKR includes joint injection; modifier if separate site,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0015,27130,20610,1,Allowed with modifier 59/X{EPSU},2024-01-01,,THR includes joint injection; modifier if separate site,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0016,80053,80048,0,Not allowed,2024-01-01,,Comprehensive metabolic includes basic metabolic,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0017,80053,84443,0,Not allowed,2024-01-01,,CMP includes TSH when part of panel,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0018,80061,82465,0,Not allowed,2024-01-01,,Lipid panel includes cholesterol,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0019,80061,84478,0,Not allowed,2024-01-01,,Lipid panel includes triglycerides,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0020,85025,85027,0,Not allowed,2024-01-01,,CBC with diff includes CBC without diff,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0021,74177,74176,0,Not allowed,2024-01-01,,CT with contrast includes CT without contrast,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0022,70553,70551,0,Not allowed,2024-01-01,,MRI with+without includes MRI without only,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0023,70553,70552,0,Not allowed,2024-01-01,,MRI with+without includes MRI with only,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0024,71046,71045,0,Not allowed,2024-01-01,,Chest 2 views includes chest 1 view,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0025,96413,96372,1,Allowed with modifier 59/X{EPSU},2024-01-01,,Chemo IV includes therapeutic injection; modifier if separate,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0026,62322,64483,0,Not allowed,2024-01-01,,Epidural includes transforaminal at same level,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0027,64483,64484,1,Allowed with modifier 59/X{EPSU},2024-01-01,,Primary transforaminal includes additional level; modifier allowed,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0028,97110,97140,1,Allowed with modifier 59/X{EPSU},2024-01-01,,Therapeutic exercise and manual therapy; modifier if distinct,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0029,97161,97110,0,Not allowed,2024-01-01,,PT evaluation includes therapeutic exercise same session,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0030,47562,49320,0,Not allowed,2024-01-01,,Lap chole includes diagnostic laparoscopy,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0031,44970,49320,0,Not allowed,2024-01-01,,Lap appy includes diagnostic laparoscopy,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0032,33533,93000,0,Not allowed,2024-01-01,,CABG includes intraoperative ECG,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0033,27447,97110,0,Not allowed,2024-01-01,,TKR includes intraoperative therapeutic exercise,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0034,59400,59025,0,Not allowed,2024-01-01,,Global OB includes antepartum NST,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0035,59400,99214,0,Not allowed,2024-01-01,,Global OB includes antepartum office visits,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0036,59510,59025,0,Not allowed,2024-01-01,,Global cesarean includes antepartum NST,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0037,90837,90834,0,Not allowed,2024-01-01,,60-min psychotherapy includes 45-min,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0038,90837,90832,0,Not allowed,2024-01-01,,60-min psychotherapy includes 30-min,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0039,90834,90832,0,Not allowed,2024-01-01,,45-min psychotherapy includes 30-min,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0040,99291,93000,0,Not allowed,2024-01-01,,Critical care includes ECG interpretation,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0041,99291,94640,0,Not allowed,2024-01-01,,Critical care includes nebulizer,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0042,99291,71046,1,Allowed with modifier 59/X{EPSU},2024-01-01,,Critical care includes CXR interpretation; modifier for separate,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
PTP0043,99291,36415,0,Not allowed,2024-01-01,,Critical care includes venipuncture,Column 1/Column 2,CMS NCCI PTP Edits (synthetic equivalent)
