cpt_code,description,category,work_rvu,pe_rvu_facility,pe_rvu_nonfacility,mp_rvu,total_rvu_facility,total_rvu_nonfacility,conversion_factor_2024,conversion_factor_2025,medicare_payment_facility_2024,medicare_payment_nonfacility_2024,medicare_payment_facility_2025,medicare_payment_nonfacility_2025,gpci_work,gpci_pe,gpci_mp,locality,mac,status_indicator
99213,"Office visit, established, low complexity",E&M,1.3,0.59,1.23,0.04,1.92,2.57,33.2875,32.7442,63.14,83.71,62.11,82.35,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
99214,"Office visit, established, moderate complexity",E&M,1.92,0.86,1.82,0.06,2.84,3.8,33.2875,32.7442,93.25,123.64,91.73,121.62,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
99215,"Office visit, established, high complexity",E&M,2.8,1.26,2.66,0.08,4.14,5.54,33.2875,32.7442,135.99,180.31,133.77,177.36,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
99203,"Office visit, new patient, low complexity",E&M,1.6,0.72,1.52,0.05,2.37,3.17,33.2875,32.7442,77.71,103.03,76.44,101.35,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
99204,"Office visit, new patient, moderate complexity",E&M,2.6,1.17,2.47,0.08,3.85,5.15,33.2875,32.7442,126.27,167.43,124.21,164.69,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
99232,"Subsequent hospital care, moderate",E&M,1.39,0.63,1.32,0.04,2.06,2.75,33.2875,32.7442,67.51,89.51,66.41,88.05,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
99233,"Subsequent hospital care, high",E&M,2.0,0.9,1.9,0.06,2.96,3.96,33.2875,32.7442,97.13,128.79,95.55,126.69,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
99223,"Initial hospital care, high complexity",E&M,3.86,1.74,3.67,0.12,5.71,7.64,33.2875,32.7442,187.47,248.56,184.41,244.51,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
99285,"ED visit, high complexity",E&M,4.0,1.8,3.8,0.12,5.92,7.92,33.2875,32.7442,194.27,257.58,191.1,253.38,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
99283,"ED visit, moderate complexity",E&M,2.56,1.15,2.43,0.08,3.79,5.07,33.2875,32.7442,124.33,164.85,122.3,162.16,1.007,0.951,0.802,"Charlotte, NC (Mecklenburg County)",Palmetto GBA,A
